Surname,Team,Position,Price,TP,PPM
Bogle,Leeds,DEF,4.5,17,3.78
Botman,Newcastle,DEF,4.9,17,3.47
Estève,Burnley,DEF,4.0,16,4.0
Van den Berg,Brentford,DEF,4.5,16,3.56
O'Brien,Everton,DEF,5.0,16,3.2
Rúben,Man City,DEF,5.5,16,2.91
Digne,Aston Villa,DEF,4.5,15,3.33
Collins,Brentford,DEF,5.0,15,3.0
Lewis-Potter,Brentford,DEF,5.0,15,3.0
Kayode,Brentford,DEF,4.5,15,3.33
Tete,Fulham,DEF,4.5,15,3.33
De Ligt,Man Utd,DEF,5.0,15,3.0
Hartman,Burnley,DEF,4.0,14,3.5
Maguire,Man Utd,DEF,4.4,14,3.18
N.Williams,Nott'm Forest,DEF,5.0,14,2.8
Reinildo,Sunderland,DEF,4.0,14,3.5
Dunk,Brighton,DEF,4.5,13,2.89
Lewis,Man City,DEF,5.0,13,2.6
Semenyo,Bournemouth,MID,7.7,41,5.32
Anthony,Burnley,MID,5.5,34,6.18
Caicedo,Chelsea,MID,5.6,33,5.89
Enzo,Chelsea,MID,6.7,30,4.48
M.Salah,Liverpool,MID,14.5,30,2.07
Stach,Leeds,MID,5.0,29,5.8
Ndiaye,Everton,MID,6.5,28,4.31
Zubimendi,Arsenal,MID,5.4,27,5.0
Cullen,Burnley,MID,5.0,27,5.4
Gravenberch,Liverpool,MID,5.6,27,4.82
Iwobi,Fulham,MID,6.5,26,4.0
Reijnders,Man City,MID,5.6,26,4.64
B.Fernandes,Man Utd,MID,9.0,26,2.89
Garner,Everton,MID,5.0,25,5.0
Grealish,Everton,MID,6.8,25,3.68
Gakpo,Liverpool,MID,7.7,25,3.25
Kudus,Spurs,MID,6.6,25,3.79
Minteh,Brighton,MID,5.9,24,4.07
L.Paquetá,West Ham,MID,5.9,24,4.07
Tavernier,Bournemouth,MID,5.5,23,4.18
Szoboszlai,Liverpool,MID,6.5,21,3.23
Ndoye,Nott'm Forest,MID,6.1,21,3.44
Rice,Arsenal,MID,6.5,20,3.08
Gana,Everton,MID,5.4,20,3.7
Xhaka,Sunderland,MID,5.0,20,4.0
Johnson,Spurs,MID,7.0,20,2.86
Bergvall,Spurs,MID,5.4,20,3.7
J.Palhinha,Spurs,MID,5.5,20,3.64
Mbeumo,Man Utd,MID,8.1,19,2.35
P.M.Sarr,Spurs,MID,5.0,19,3.8
Mitoma,Brighton,MID,6.4,18,2.81
Sarr,Crystal Palace,MID,6.4,18,2.81
Doku,Man City,MID,6.4,18,2.81
Anderson,Nott'm Forest,MID,5.5,18,3.27
O.Dango,Brentford,MID,6.0,17,2.83
Wilson,Fulham,MID,5.4,17,3.15
Ayari,Brighton,MID,4.9,16,3.27
Neto,Chelsea,MID,7.0,16,2.29
Foden,Man City,MID,8.0,16,2.0
Hudson-Odoi,Nott'm Forest,MID,6.0,16,2.67
Talbi,Sunderland,MID,5.0,16,3.2
Brooks,Bournemouth,MID,5.0,15,3.0
Damsgaard,Brentford,MID,5.9,15,2.54
Henderson,Brentford,MID,5.0,15,3.0
E.Le Fée,Sunderland,MID,4.7,15,3.19
Eze,Arsenal,MID,7.5,14,1.87
Adams,Bournemouth,MID,5.0,14,2.8
Yarmoliuk,Brentford,MID,5.0,14,2.8
Bruno G.,Newcastle,MID,6.5,14,2.15
Tonali,Newcastle,MID,5.4,14,2.59
Schade,Brentford,MID,7.0,13,1.86
Georginio,Brighton,MID,5.8,13,2.24
Gruda,Brighton,MID,5.4,13,2.41
Wharton,Crystal Palace,MID,5.0,13,2.6
Lukić,Fulham,MID,5.0,13,2.6
Bernardo,Man City,MID,6.4,13,2.03
Haaland,Man City,FWD,14.3,46,3.22
João Pedro,Chelsea,FWD,7.8,35,4.49
Ekitiké,Liverpool,FWD,8.7,32,3.68
Richarlison,Spurs,FWD,6.7,29,4.33
Isidor,Sunderland,FWD,5.5,25,4.55
Bowen,West Ham,FWD,7.7,24,3.12
Gyökeres,Arsenal,FWD,9.0,22,2.44
Wood,Nott'm Forest,FWD,7.6,20,2.63
Foster,Burnley,FWD,5.0,18,3.6
Evanilson,Bournemouth,FWD,7.0,18,2.57
Thiago,Brentford,FWD,6.0,17,2.83
Mateta,Crystal Palace,FWD,7.6,16,2.11
Muniz,Fulham,FWD,5.5,15,2.73
Calvert-Lewin,Leeds,FWD,5.5,14,2.55
Mayenda,Sunderland,FWD,5.5,13,2.36
Beto,Everton,FWD,5.4,12,2.22
Woltemade,Newcastle,FWD,7.1,11,1.55
Wilson,West Ham,FWD,5.9,11,1.86
Watkins,Aston Villa,FWD,8.8,10,1.14
Nmecha,Leeds,FWD,5.0,10,2.0
Osula,Newcastle,FWD,5.5,10,1.82
Welbeck,Brighton,FWD,6.3,6,0.95
Barry,Everton,FWD,5.8,6,1.03
Raúl,Fulham,FWD,6.3,6,0.95
Šeško,Man Utd,FWD,7.3,6,0.82
Füllkrug,West Ham,FWD,5.7,6,1.05
Strand Larsen,Wolves,FWD,6.4,5,0.78
Delap,Chelsea,FWD,6.2,4,0.65
