Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP
Sarr,Crystal Palace,MID,6.4,18,2.81,1.0,18.0
Doku,Man City,MID,6.4,18,2.81,1.0,18.0
Anderson,Nott'm Forest,MID,5.5,18,3.27,1.0,18.0
O.Dango,Brentford,MID,6.0,17,2.83,1.0,17.0
Wilson,Fulham,MID,5.4,17,3.15,1.0,17.0
Ayari,Brighton,MID,4.9,16,3.27,1.0,16.0
Neto,Chelsea,MID,7.0,16,2.29,1.0,16.0
Foden,Man City,MID,8.0,16,2.0,1.0,16.0
Hudson-Odoi,Nott'm Forest,MID,6.0,16,2.67,1.0,16.0
Talbi,Sunderland,MID,5.0,16,3.2,1.0,16.0
Brooks,Bournemouth,MID,5.0,15,3.0,1.0,15.0
Damsgaard,Brentford,MID,5.9,15,2.54,1.0,15.0
Henderson,Brentford,MID,5.0,15,3.0,1.0,15.0
E.Le Fée,Sunderland,MID,4.7,15,3.19,1.0,15.0
Eze,Arsenal,MID,7.5,14,1.87,1.0,14.0
Adams,Bournemouth,MID,5.0,14,2.8,1.0,14.0
Yarmoliuk,Brentford,MID,5.0,14,2.8,1.0,14.0
Bruno G.,Newcastle,MID,6.5,14,2.15,1.0,14.0
Tonali,Newcastle,MID,5.4,14,2.59,1.0,14.0
Schade,Brentford,MID,7.0,13,1.86,1.0,13.0
Georginio,Brighton,MID,5.8,13,2.24,1.0,13.0
Gruda,Brighton,MID,5.4,13,2.41,1.0,13.0
Wharton,Crystal Palace,MID,5.0,13,2.6,1.0,13.0
Lukić,Fulham,MID,5.0,13,2.6,1.0,13.0
Bernardo,Man City,MID,6.4,13,2.03,1.0,13.0
Haaland,Man City,FWD,14.3,46,3.22,1.5,69.0
João Pedro,Chelsea,FWD,7.8,35,4.49,1.2,42.0
Ekitiké,Liverpool,FWD,8.7,32,3.68,1.2,38.4
Richarlison,Spurs,FWD,6.7,29,4.33,1.0,29.0
Isidor,Sunderland,FWD,5.5,25,4.55,1.0,25.0
Bowen,West Ham,FWD,7.7,24,3.12,1.0,24.0
Gyökeres,Arsenal,FWD,9.0,22,2.44,1.0,22.0
Wood,Nott'm Forest,FWD,7.6,20,2.63,1.0,20.0
Foster,Burnley,FWD,5.0,18,3.6,1.0,18.0
Evanilson,Bournemouth,FWD,7.0,18,2.57,1.0,18.0
Thiago,Brentford,FWD,6.0,17,2.83,1.0,17.0
Mateta,Crystal Palace,FWD,7.6,16,2.11,1.0,16.0
Muniz,Fulham,FWD,5.5,15,2.73,1.0,15.0
Calvert-Lewin,Leeds,FWD,5.5,14,2.55,1.0,14.0
Mayenda,Sunderland,FWD,5.5,13,2.36,1.0,13.0
Beto,Everton,FWD,5.4,12,2.22,1.0,12.0
Woltemade,Newcastle,FWD,7.1,11,1.55,1.0,11.0
Wilson,West Ham,FWD,5.9,11,1.86,1.0,11.0
Watkins,Aston Villa,FWD,8.8,10,1.14,1.0,10.0
Nmecha,Leeds,FWD,5.0,10,2.0,1.0,10.0
Osula,Newcastle,FWD,5.5,10,1.82,1.0,10.0
Welbeck,Brighton,FWD,6.3,6,0.95,1.0,6.0
Barry,Everton,FWD,5.8,6,1.03,1.0,6.0
Raúl,Fulham,FWD,6.3,6,0.95,1.0,6.0
Šeško,Man Utd,FWD,7.3,6,0.82,1.0,6.0
Füllkrug,West Ham,FWD,5.7,6,1.05,1.0,6.0
Strand Larsen,Wolves,FWD,6.4,5,0.78,1.0,5.0
Delap,Chelsea,FWD,6.2,4,0.65,1.0,4.0
