Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP
Senesi,Bournemouth,DEF,4.6,28,6.09,1.0,28.0
Lacroix,Crystal Palace,DEF,5.0,28,5.6,1.0,28.0
Romero,Spurs,DEF,5.0,27,5.4,1.0,27.0
Van de Ven,Spurs,DEF,4.7,27,5.74,1.0,27.0
Livramento,Newcastle,DEF,5.1,25,4.9,1.0,25.0
Muñoz,Crystal Palace,DEF,5.6,24,4.29,1.0,24.0
Gabriel,Arsenal,DEF,6.1,23,3.77,1.0,23.0
Tarkowski,Everton,DEF,5.5,23,4.18,1.0,23.0
Schär,Newcastle,DEF,5.5,23,4.18,1.0,23.0
Burn,Newcastle,DEF,5.0,23,4.6,1.0,23.0
Mitchell,Crystal Palace,DEF,5.0,22,4.4,1.0,22.0
Richards,Crystal Palace,DEF,4.5,22,4.89,1.0,22.0
Virgil,Liverpool,DEF,6.1,22,3.61,1.0,22.0
Trippier,Newcastle,DEF,5.0,21,4.2,1.0,21.0
Pedro Porro,Spurs,DEF,5.6,21,3.75,1.0,21.0
Cucurella,Chelsea,DEF,6.2,20,3.23,1.0,20.0
Rodon,Leeds,DEF,4.0,20,5.0,1.0,20.0
Keane,Everton,DEF,4.5,19,4.22,1.0,19.0
Andersen,Fulham,DEF,4.5,19,4.22,1.0,19.0
Mings,Aston Villa,DEF,4.5,18,4.0,1.0,18.0
Ballard,Sunderland,DEF,4.6,18,3.91,1.0,18.0
Alderete,Sunderland,DEF,4.0,18,4.5,1.0,18.0
Spence,Spurs,DEF,4.5,18,4.0,1.0,18.0
Ekdal,Burnley,DEF,4.0,17,4.25,1.0,17.0
Semenyo,Bournemouth,MID,7.5,36,4.8,1.0,36.0
Enzo,Chelsea,MID,6.6,29,4.39,1.2,34.8
Caicedo,Chelsea,MID,5.6,29,5.18,1.0,29.0
Zubimendi,Arsenal,MID,5.4,25,4.63,1.0,25.0
M.Salah,Liverpool,MID,14.5,25,1.72,1.5,37.5
Anthony,Burnley,MID,5.5,24,4.36,1.0,24.0
Grealish,Everton,MID,6.8,24,3.53,1.0,24.0
Cullen,Burnley,MID,5.0,23,4.6,1.0,23.0
Gakpo,Liverpool,MID,7.7,23,2.99,1.0,23.0
L.Paquetá,West Ham,MID,5.9,23,3.9,1.0,23.0
Ndiaye,Everton,MID,6.5,22,3.38,1.0,22.0
Garner,Everton,MID,5.0,21,4.2,1.0,21.0
Tavernier,Bournemouth,MID,5.5,20,3.64,1.0,20.0
Szoboszlai,Liverpool,MID,6.5,20,3.08,1.0,20.0
Ndoye,Nott'm Forest,MID,6.1,19,3.11,1.0,19.0
Johnson,Spurs,MID,7.1,19,2.68,1.0,19.0
P.M.Sarr,Spurs,MID,5.0,19,3.8,1.0,19.0
Sarr,Crystal Palace,MID,6.5,18,2.77,1.0,18.0
Dewsbury-Hall,Everton,MID,5.0,18,3.6,1.0,18.0
Kudus,Spurs,MID,6.6,18,2.73,1.0,18.0
Rice,Arsenal,MID,6.5,17,2.62,1.0,17.0
Reijnders,Man City,MID,5.7,17,2.98,1.0,17.0
Scott,Bournemouth,MID,5.0,16,3.2,1.0,16.0
O.Dango,Brentford,MID,6.0,16,2.67,1.0,16.0
Mitoma,Brighton,MID,6.4,16,2.5,1.0,16.0
Mbeumo,Man Utd,MID,8.1,16,1.98,1.0,16.0
B.Fernandes,Man Utd,MID,9.0,16,1.78,1.0,16.0
Xhaka,Sunderland,MID,5.0,16,3.2,1.0,16.0
Haaland,Man City,FWD,14.2,37,2.61,1.5,55.5
João Pedro,Chelsea,FWD,7.8,33,4.23,1.2,39.6
Ekitiké,Liverpool,FWD,8.8,24,2.73,1.2,28.8
Gyökeres,Arsenal,FWD,9.0,20,2.22,1.0,20.0
Richarlison,Spurs,FWD,6.7,20,2.99,1.0,20.0
Wood,Nott'm Forest,FWD,7.6,18,2.37,1.0,18.0
Evanilson,Bournemouth,FWD,7.0,16,2.29,1.0,16.0
Isidor,Sunderland,FWD,5.5,16,2.91,1.0,16.0
Thiago,Brentford,FWD,6.0,15,2.5,1.0,15.0
Bowen,West Ham,FWD,7.7,15,1.95,1.0,15.0
Foster,Burnley,FWD,5.0,12,2.4,1.0,12.0
Mayenda,Sunderland,FWD,5.5,12,2.18,1.0,12.0
Beto,Everton,FWD,5.4,11,2.04,1.0,11.0
Mateta,Crystal Palace,FWD,7.6,10,1.32,1.0,10.0
Muniz,Fulham,FWD,5.5,10,1.82,1.0,10.0
Wilson,West Ham,FWD,5.9,10,1.69,1.0,10.0
Nmecha,Leeds,FWD,5.0,9,1.8,1.0,9.0
Osula,Newcastle,FWD,5.5,9,1.64,1.0,9.0
Woltemade,Newcastle,FWD,7.0,9,1.29,1.0,9.0
Watkins,Aston Villa,FWD,8.8,8,0.91,1.0,8.0
Welbeck,Brighton,FWD,6.3,5,0.79,1.0,5.0
Barry,Everton,FWD,5.8,5,0.86,1.0,5.0
Raúl,Fulham,FWD,6.3,5,0.79,1.0,5.0
Šeško,Man Utd,FWD,7.4,5,0.68,1.0,5.0
Füllkrug,West Ham,FWD,5.8,5,0.86,1.0,5.0
Delap,Chelsea,FWD,6.3,4,0.63,1.0,4.0
Strand Larsen,Wolves,FWD,6.4,4,0.62,1.0,4.0
Kroupi.Jr,Bournemouth,FWD,4.5,3,0.67,1.0,3.0
