Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Calafiori,Arsenal,DEF,5.7,60,OK,10.53,1.2,72.0
Van de Ven,Spurs,DEF,4.8,57,OK,11.88,1.0,57.0
Senesi,Bournemouth,DEF,4.8,56,OK,11.67,1.0,56.0
Muñoz,Crystal Palace,DEF,5.7,54,OK,9.47,1.0,54.0
Lacroix,Crystal Palace,DEF,5.0,50,OK,10.0,1.0,50.0
Chalobah,Chelsea,DEF,5.1,49,OK,9.61,1.2,58.8
Burn,Newcastle,DEF,5.2,48,OK,9.23,1.0,48.0
Mukiele,Sunderland,DEF,4.2,47,OK,11.19,1.0,47.0
Cash,Aston Villa,DEF,4.6,46,OK,10.0,1.0,46.0
Truffert,Bournemouth,DEF,4.5,45,OK,10.0,1.0,45.0
James,Chelsea,DEF,5.5,45,OK,8.18,1.0,45.0
Rodon,Leeds,DEF,4.1,45,OK,10.98,1.0,45.0
Alderete,Sunderland,DEF,4.1,45,INJURY,10.98,1.0,45.0
Mitchell,Crystal Palace,DEF,5.0,44,OK,8.8,1.0,44.0
Richards,Crystal Palace,DEF,4.5,44,OK,9.78,1.0,44.0
Pedro Porro,Spurs,DEF,5.5,44,OK,8.0,1.0,44.0
Cucurella,Chelsea,DEF,6.1,43,OK,7.05,1.0,43.0
Keane,Everton,DEF,4.5,41,OK,9.11,1.0,41.0
Virgil,Liverpool,DEF,5.9,40,OK,6.78,1.0,40.0
O'Reilly,Man City,DEF,4.9,40,OK,8.16,1.0,40.0
Hume,Sunderland,DEF,4.5,40,OK,8.89,1.0,40.0
Rúben,Man City,DEF,5.5,39,OK,7.09,1.0,39.0
Ballard,Sunderland,DEF,4.6,39,OK,8.48,1.0,39.0
Saliba,Arsenal,DEF,6.0,38,OK,6.33,1.0,38.0
Tarkowski,Everton,DEF,5.4,38,OK,7.04,1.0,38.0
Andersen,Fulham,DEF,4.5,36,OK,8.0,1.0,36.0
Portman,Burnley,DEF,4.0,35,OK,8.75,1.0,35.0
Van Hecke,Brighton,DEF,4.4,35,OK,7.95,1.0,35.0
Digne,Aston Villa,DEF,4.5,33,OK,7.33,1.0,33.0
Romero,Spurs,DEF,5.0,33,OK,6.6,1.0,33.0
Van den Berg,Brentford,DEF,4.5,32,OK,7.11,1.0,32.0
Matheus N.,Man City,DEF,5.3,32,OK,6.04,1.0,32.0
Diakité,Bournemouth,DEF,4.5,30,OK,6.67,1.0,30.0
Collins,Brentford,DEF,4.9,30,OK,6.12,1.0,30.0
Kayode,Brentford,DEF,4.5,30,OK,6.67,1.0,30.0
De Ligt,Man Utd,DEF,5.0,30,OK,6.0,1.0,30.0
Trippier,Newcastle,DEF,5.0,30,OK,6.0,1.0,30.0
Spence,Spurs,DEF,4.5,30,OK,6.67,1.0,30.0
Diouf,West Ham,DEF,4.3,30,OK,6.98,1.0,30.0
Walker,Burnley,DEF,4.4,29,OK,6.59,1.0,29.0
Gvardiol,Man City,DEF,5.8,28,OK,4.83,1.0,28.0
Botman,Newcastle,DEF,4.9,28,OK,5.71,1.0,28.0
Konsa,Aston Villa,DEF,4.4,27,OK,6.14,1.0,27.0
Acheampong,Chelsea,DEF,3.9,27,OK,6.92,1.0,27.0
O'Brien,Everton,DEF,4.9,27,OK,5.51,1.0,27.0
Bogle,Leeds,DEF,4.5,27,OK,6.0,1.0,27.0
Maguire,Man Utd,DEF,4.4,27,OK,6.14,1.0,27.0
Shaw,Man Utd,DEF,4.5,27,OK,6.0,1.0,27.0
Bassey,Fulham,DEF,4.5,26,OK,5.78,1.0,26.0
Gudmundsson,Leeds,DEF,4.0,26,OK,6.5,1.0,26.0
Estève,Burnley,DEF,4.0,25,OK,6.25,1.0,25.0
Schär,Newcastle,DEF,5.4,25,OK,4.63,1.0,25.0
Mings,Aston Villa,DEF,4.4,24,DOUBT,5.45,1.0,24.0
Semenyo,Bournemouth,MID,7.7,75,OK,9.74,1.0,75.0
Rice,Arsenal,MID,6.8,63,OK,9.26,1.0,63.0
Caicedo,Chelsea,MID,6.0,58,OK,9.67,1.0,58.0
Mbeumo,Man Utd,MID,8.4,53,OK,6.31,1.0,53.0
Ndiaye,Everton,MID,6.5,52,OK,8.0,1.0,52.0
M.Salah,Liverpool,MID,14.2,52,OK,3.66,1.5,78.0
Gravenberch,Liverpool,MID,5.6,50,OK,8.93,1.0,50.0
Xhaka,Sunderland,MID,5.1,49,OK,9.61,1.0,49.0
J.Palhinha,Spurs,MID,5.5,48,OK,8.73,1.0,48.0
Anthony,Burnley,MID,5.7,47,OK,8.25,1.0,47.0
Minteh,Brighton,MID,6.0,47,OK,7.83,1.0,47.0
Bruno G.,Newcastle,MID,6.6,46,OK,6.97,1.0,46.0
Tavernier,Bournemouth,MID,5.5,45,OK,8.18,1.0,45.0
Enzo,Chelsea,MID,6.6,45,OK,6.82,1.2,54.0
Gakpo,Liverpool,MID,7.6,45,OK,5.92,1.0,45.0
B.Fernandes,Man Utd,MID,8.9,45,OK,5.06,1.0,45.0
Kudus,Spurs,MID,6.6,45,DOUBT,6.82,1.0,45.0
Zubimendi,Arsenal,MID,5.4,43,DOUBT,7.96,1.0,43.0
Cullen,Burnley,MID,5.0,43,OK,8.6,1.0,43.0
Neto,Chelsea,MID,7.1,43,DOUBT,6.06,1.0,43.0
Sarr,Crystal Palace,MID,6.7,43,OK,6.42,1.0,43.0
Sessegnon,Fulham,MID,5.4,43,OK,7.96,1.0,43.0
Szoboszlai,Liverpool,MID,6.6,43,OK,6.52,1.0,43.0
Casemiro,Man Utd,MID,5.5,42,OK,7.64,1.0,42.0
L.Paquetá,West Ham,MID,5.9,41,OK,6.95,1.0,41.0
Grealish,Everton,MID,6.8,40,OK,5.88,1.0,40.0
Eze,Arsenal,MID,7.6,39,OK,5.13,1.0,39.0
Garner,Everton,MID,5.0,39,OK,7.8,1.0,39.0
Stach,Leeds,MID,4.9,36,OK,7.35,1.0,36.0
Adams,Bournemouth,MID,5.0,35,OK,7.0,1.0,35.0
O.Dango,Brentford,MID,6.0,35,OK,5.83,1.0,35.0
P.M.Sarr,Spurs,MID,4.9,35,OK,7.14,1.0,35.0
Munetsi,Wolves,MID,5.4,35,OK,6.48,1.0,35.0
Scott,Bournemouth,MID,5.0,34,OK,6.8,1.0,34.0
Aaronson,Leeds,MID,5.4,34,OK,6.3,1.0,34.0
Reijnders,Man City,MID,5.5,34,OK,6.18,1.0,34.0
J.Murphy,Newcastle,MID,6.1,34,OK,5.57,1.0,34.0
Bentancur,Spurs,MID,5.3,34,OK,6.42,1.0,34.0
Saka,Arsenal,MID,10.1,33,OK,3.27,1.0,33.0
Rogers,Aston Villa,MID,6.8,33,OK,4.85,1.0,33.0
Wieffer,Brighton,MID,4.9,33,OK,6.73,1.0,33.0
Wilson,Fulham,MID,5.2,33,OK,6.35,1.0,33.0
Doku,Man City,MID,6.4,33,OK,5.16,1.0,33.0
Talbi,Sunderland,MID,5.0,33,OK,6.6,1.0,33.0
Schade,Brentford,MID,7.0,32,OK,4.57,1.0,32.0
Gana,Everton,MID,5.4,32,OK,5.93,1.0,32.0
Anderson,Nott'm Forest,MID,5.3,32,OK,6.04,1.0,32.0
E Le Fee,Sunderland,MID,4.9,32,OK,6.53,1.0,32.0
Trossard,Arsenal,MID,6.9,31,OK,4.49,1.0,31.0
Damsgaard,Brentford,MID,5.8,31,OK,5.34,1.0,31.0
Gibbs-White,Nott'm Forest,MID,7.3,30,OK,4.11,1.0,30.0
Yarmoliuk,Brentford,MID,5.0,29,OK,5.8,1.0,29.0
Kamada,Crystal Palace,MID,5.0,29,OK,5.8,1.0,29.0
Amad,Man Utd,MID,6.3,29,OK,4.6,1.0,29.0
Buendia,Aston Villa,MID,5.3,28,OK,5.28,1.0,28.0
Georginio,Brighton,MID,5.7,28,OK,4.91,1.0,28.0
Haaland,Man City,FWD,14.4,98,OK,6.81,1.5,147.0
João Pedro,Chelsea,FWD,7.4,52,OK,7.03,1.2,62.4
Mateta,Crystal Palace,FWD,8.0,48,OK,6.0,1.0,48.0
Thiago,Brentford,FWD,6.2,47,OK,7.58,1.0,47.0
Bowen,West Ham,FWD,7.7,44,OK,5.71,1.0,44.0
Welbeck,Brighton,FWD,6.5,43,OK,6.62,1.0,43.0
Isidor,Sunderland,FWD,5.6,39,OK,6.96,1.0,39.0
Ekitiké,Liverpool,FWD,8.6,38,OK,4.42,1.2,45.6
Richarlison,Spurs,FWD,6.4,38,OK,5.94,1.0,38.0
Gyökeres,Arsenal,FWD,8.9,37,INJURY,4.16,1.0,37.0
Woltemade,Newcastle,FWD,7.5,35,OK,4.67,1.0,35.0
Šeško,Man Utd,FWD,7.3,30,OK,4.11,1.0,30.0
Kroupi.Jr,Bournemouth,FWD,4.6,29,OK,6.3,1.0,29.0
Foster,Burnley,FWD,5.0,28,OK,5.6,1.0,28.0
Watkins,Aston Villa,FWD,8.5,25,OK,2.94,1.0,25.0
Wood,Nott'm Forest,FWD,7.2,25,INJURY,3.47,1.0,25.0
Raúl,Fulham,FWD,6.2,24,OK,3.87,1.0,24.0
Calvert-Lewin,Leeds,FWD,5.5,24,DOUBT,4.36,1.0,24.0
Evanilson,Bournemouth,FWD,7.0,23,OK,3.29,1.0,23.0
Flemming,Burnley,FWD,5.3,20,OK,3.77,1.0,20.0
Beto,Everton,FWD,5.2,20,OK,3.85,1.0,20.0
Strand Larsen,Wolves,FWD,6.3,19,OK,3.02,1.0,19.0
Osula,Newcastle,FWD,5.5,18,INJURY,3.27,1.0,18.0
Muniz,Fulham,FWD,5.4,16,OK,2.96,1.0,16.0
Nmecha,Leeds,FWD,5.0,15,OK,3.0,1.0,15.0
Mayenda,Sunderland,FWD,5.4,15,OK,2.78,1.0,15.0
Wilson,West Ham,FWD,5.8,15,OK,2.59,1.0,15.0
Igor Jesus,Nott'm Forest,FWD,5.8,13,OK,2.24,1.0,13.0
