Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Bruno G.,Newcastle,MID,6.6,50,OK,7.58,1.0,50.0
Anthony,Burnley,MID,5.7,49,OK,8.6,1.0,49.0
Zubimendi,Arsenal,MID,5.4,48,DOUBT,8.89,1.0,48.0
Enzo,Chelsea,MID,6.6,48,OK,7.27,1.2,57.6
Tavernier,Bournemouth,MID,5.5,47,OK,8.55,1.0,47.0
Sessegnon,Fulham,MID,5.4,47,OK,8.7,1.0,47.0
Casemiro,Man Utd,MID,5.5,47,DOUBT,8.55,1.0,47.0
Sarr,Crystal Palace,MID,6.7,46,OK,6.87,1.0,46.0
Gakpo,Liverpool,MID,7.5,46,OK,6.13,1.0,46.0
Saka,Arsenal,MID,10.1,45,OK,4.46,1.0,45.0
Kudus,West Ham,MID,6.5,45,DOUBT,6.92,1.0,45.0
L.Paquetá,West Ham,MID,5.9,45,OK,7.63,1.0,45.0
Szoboszlai,Liverpool,MID,6.6,44,INJURY,6.67,1.0,44.0
Doku,Man City,MID,6.4,44,OK,6.88,1.0,44.0
Grealish,Everton,MID,6.8,43,OK,6.32,1.0,43.0
Gana,Everton,MID,5.4,42,OK,7.78,1.0,42.0
Garner,Everton,MID,5.0,42,OK,8.4,1.0,42.0
Eze,Arsenal,MID,7.6,41,OK,5.39,1.0,41.0
Aaronson,Leeds,MID,5.4,41,OK,7.59,1.0,41.0
Anderson,Nott'm Forest,MID,5.3,41,OK,7.74,1.0,41.0
Trossard,Arsenal,MID,6.9,40,OK,5.8,1.0,40.0
Schade,Brentford,MID,7.0,40,OK,5.71,1.0,40.0
Iwobi,Fulham,MID,6.5,40,OK,6.15,1.0,40.0
Stach,Leeds,MID,5.0,40,OK,8.0,1.0,40.0
Gibbs-White,Nott'm Forest,MID,7.3,40,OK,5.48,1.0,40.0
Buendia,Aston Villa,MID,5.3,39,OK,7.36,1.0,39.0
O.Dango,Brentford,MID,6.0,39,OK,6.5,1.0,39.0
Longstaff,Leeds,MID,4.9,38,OK,7.76,1.0,38.0
Adams,Bournemouth,MID,5.0,37,DOUBT,7.4,1.0,37.0
Amad,Man Utd,MID,6.3,37,OK,5.87,1.0,37.0
P.M.Sarr,Spurs,MID,4.8,37,OK,7.71,1.0,37.0
Scott,Bournemouth,MID,5.0,36,OK,7.2,1.0,36.0
Wieffer,Brighton,MID,4.9,36,OK,7.35,1.0,36.0
J.Murphy,Newcastle,MID,6.1,36,OK,5.9,1.0,36.0
Rogers,Aston Villa,MID,6.8,35,OK,5.15,1.0,35.0
Dewsbury-Hall,Everton,MID,4.9,35,OK,7.14,1.0,35.0
Bentancur,Spurs,MID,5.3,35,OK,6.6,1.0,35.0
Munetsi,Wolves,MID,5.4,35,OK,6.48,1.0,35.0
Wilson,Fulham,MID,5.2,34,OK,6.54,1.0,34.0
Reijnders,Man City,MID,5.5,34,OK,6.18,1.0,34.0
E Le Fee,Sunderland,MID,4.9,34,OK,6.94,1.0,34.0
Talbi,Sunderland,MID,5.0,34,OK,6.8,1.0,34.0
Damsgaard,Brentford,MID,5.8,33,OK,5.69,1.0,33.0
Yarmoliuk,Brentford,MID,5.0,33,OK,6.6,1.0,33.0
Malen,Aston Villa,MID,5.1,32,OK,6.27,1.0,32.0
Ugochukwu,Burnley,MID,5.0,32,OK,6.4,1.0,32.0
Kamada,Crystal Palace,MID,5.0,32,OK,6.4,1.0,32.0
King,Spurs,MID,4.5,19,OK,4.22,1.0,19.0
Haaland,Man City,FWD,14.1,102,OK,7.23,1.5,153.0
Thiago,Brentford,FWD,6.3,60,OK,9.52,1.0,60.0
João Pedro,Chelsea,FWD,7.7,59,OK,7.66,1.2,70.8
Mateta,Crystal Palace,FWD,8.1,50,OK,6.17,1.0,50.0
Bowen,West Ham,FWD,7.7,46,OK,5.97,1.0,46.0
Welbeck,Brighton,FWD,6.5,45,OK,6.92,1.0,45.0
Richarlison,Spurs,FWD,6.4,44,OK,6.88,1.0,44.0
Isidor,Sunderland,FWD,5.6,41,OK,7.32,1.0,41.0
Woltemade,Newcastle,FWD,7.4,40,OK,5.41,1.0,40.0
Ekitiké,Liverpool,FWD,8.6,39,OK,4.53,1.2,46.8
Gyökeres,Arsenal,FWD,8.9,37,INJURY,4.16,1.0,37.0
Šeško,Man Utd,FWD,7.3,31,DOUBT,4.25,1.0,31.0
Kroupi.Jr,Bournemouth,FWD,4.6,30,OK,6.52,1.0,30.0
Foster,Burnley,FWD,5.0,28,OK,5.6,1.0,28.0
Watkins,Aston Villa,FWD,8.5,27,OK,3.18,1.0,27.0
Flemming,Burnley,FWD,5.3,25,OK,4.72,1.0,25.0
Evanilson,Bournemouth,FWD,7.0,25,OK,3.57,1.0,25.0
Raúl,Fulham,FWD,6.2,25,OK,4.03,1.0,25.0
Calvert-Lewin,Leeds,FWD,5.5,25,OK,4.55,1.0,25.0
Wood,Nott'm Forest,FWD,7.2,25,INJURY,3.47,1.0,25.0
Nmecha,Leeds,FWD,5.0,23,OK,4.6,1.0,23.0
Wilson,West Ham,FWD,5.8,22,OK,3.79,1.0,22.0
Beto,Everton,FWD,5.2,21,OK,4.04,1.0,21.0
Strand Larsen,Wolves,FWD,6.3,21,OK,3.33,1.0,21.0
Osula,Newcastle,FWD,5.5,18,INJURY,3.27,1.0,18.0
Muniz,Fulham,FWD,5.4,17,DOUBT,3.15,1.0,17.0
Mayenda,Sunderland,FWD,5.4,16,OK,2.96,1.0,16.0
Igor Jesus,Nott'm Forest,FWD,5.8,14,OK,2.41,1.0,14.0
Brobbey,Sunderland,FWD,5.5,13,OK,2.36,1.0,13.0
Barry,Everton,FWD,5.7,12,OK,2.11,1.0,12.0
