Surname,Team,Price,TP,Position,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Wright,Aston Villa,4.0,0,GKP,0.0,1.0,0.0,AVL,2.0,0.0
Calafiori,Arsenal,5.7,28,DEF,4.91,1.2,33.6,ARS,3.2,10.5
Chalobah,Chelsea,5.1,27,DEF,5.29,1.2,32.4,CHE,3.0,10.8
J.Timber,Arsenal,5.6,26,DEF,4.64,1.0,26.0,ARS,3.2,8.12
Senesi,Bournemouth,4.6,25,DEF,5.43,1.0,25.0,BOU,2.2,11.36
Guéhi,Crystal Palace,4.6,23,DEF,5.0,1.0,23.0,CRY,3.0,7.67
Lacroix,Crystal Palace,5.0,22,DEF,4.4,1.0,22.0,CRY,3.0,7.33
Cucurella,Chelsea,6.1,19,DEF,3.11,1.0,19.0,CHE,3.0,6.33
Muñoz,Crystal Palace,5.5,19,DEF,3.45,1.0,19.0,CRY,3.0,6.33
Livramento,Newcastle,5.1,19,DEF,3.73,1.0,19.0,NEW,2.6,7.31
Ballard,Sunderland,4.6,18,DEF,3.91,1.0,18.0,SUN,2.6,6.92
Gudmundsson,Leeds,4.0,17,DEF,4.25,1.0,17.0,LEE,2.8,6.07
Burn,Newcastle,5.0,17,DEF,3.4,1.0,17.0,NEW,2.6,6.54
Saliba,Arsenal,6.1,16,DEF,2.62,1.0,16.0,ARS,3.2,5.0
Diakité,Bournemouth,4.5,16,DEF,3.56,1.0,16.0,BOU,2.2,7.27
Mitchell,Crystal Palace,5.0,16,DEF,3.2,1.0,16.0,CRY,3.0,5.33
Richards,Crystal Palace,4.5,16,DEF,3.56,1.0,16.0,CRY,3.0,5.33
Rodon,Leeds,4.0,16,DEF,4.0,1.0,16.0,LEE,2.8,5.71
Tarkowski,Everton,5.5,15,DEF,2.73,1.0,15.0,EVE,3.6,4.17
Schär,Newcastle,5.5,15,DEF,2.73,1.0,15.0,NEW,2.6,5.77
Pedro Porro,Spurs,5.6,15,DEF,2.68,1.0,15.0,TOT,2.4,6.25
Romero,Spurs,5.0,15,DEF,3.0,1.0,15.0,TOT,2.4,6.25
Gabriel,Arsenal,6.1,14,DEF,2.3,1.0,14.0,ARS,3.2,4.38
Van den Berg,Brentford,4.5,14,DEF,3.11,1.0,14.0,BRE,3.2,4.38
Struijk,Leeds,4.5,14,DEF,3.11,1.0,14.0,LEE,2.8,5.0
Enzo,Chelsea,6.6,25,MID,3.79,1.2,30.0,CHE,3.0,10.0
Semenyo,Bournemouth,7.4,23,MID,3.11,1.0,23.0,BOU,2.2,10.45
Grealish,Everton,6.7,22,MID,3.28,1.0,22.0,EVE,3.6,6.11
Anthony,Burnley,5.5,21,MID,3.82,1.0,21.0,BUR,3.0,7.0
L.Paquetá,West Ham,5.9,21,MID,3.56,1.0,21.0,WHU,2.8,7.5
Cullen,Burnley,5.0,20,MID,4.0,1.0,20.0,BUR,3.0,6.67
Gakpo,Liverpool,7.7,20,MID,2.6,1.0,20.0,LIV,2.6,7.69
Tavernier,Bournemouth,5.5,18,MID,3.27,1.0,18.0,BOU,2.2,8.18
Sarr,Crystal Palace,6.5,18,MID,2.77,1.0,18.0,CRY,3.0,6.0
Johnson,Spurs,7.1,18,MID,2.54,1.0,18.0,TOT,2.4,7.5
Caicedo,Chelsea,5.5,17,MID,3.09,1.0,17.0,CHE,3.0,5.67
Ndiaye,Everton,6.5,17,MID,2.62,1.0,17.0,EVE,3.6,4.72
Szoboszlai,Liverpool,6.5,17,MID,2.62,1.0,17.0,LIV,2.6,6.54
Ndoye,Nott'm Forest,6.1,17,MID,2.79,1.0,17.0,NFO,2.8,6.07
Rice,Arsenal,6.5,16,MID,2.46,1.0,16.0,ARS,3.2,5.0
Dewsbury-Hall,Everton,5.0,16,MID,3.2,1.0,16.0,EVE,3.6,4.44
Garner,Everton,5.0,16,MID,3.2,1.0,16.0,EVE,3.6,4.44
M.Salah,Liverpool,14.5,16,MID,1.1,1.5,24.0,LIV,2.6,9.23
O.Dango,Brentford,6.0,15,MID,2.5,1.0,15.0,BRE,3.2,4.69
Kudus,Spurs,6.6,15,MID,2.27,1.0,15.0,TOT,2.4,6.25
Reijnders,Man City,5.7,14,MID,2.46,1.0,14.0,MCI,2.4,5.83
Mbeumo,Man Utd,8.1,14,MID,1.73,1.0,14.0,MUN,3.2,4.38
B.Fernandes,Man Utd,9.0,14,MID,1.56,1.0,14.0,MUN,3.2,4.38
Hudson-Odoi,Nott'm Forest,6.0,14,MID,2.33,1.0,14.0,NFO,2.8,5.0
João Pedro,Chelsea,7.7,26,FWD,3.38,1.2,31.2,CHE,3.0,10.4
Haaland,Man City,14.1,24,FWD,1.7,1.5,36.0,MCI,2.4,15.0
Ekitiké,Liverpool,8.7,22,FWD,2.53,1.2,26.4,LIV,2.6,10.15
Richarlison,Spurs,6.7,19,FWD,2.84,1.0,19.0,TOT,2.4,7.92
Wood,Nott'm Forest,7.7,17,FWD,2.21,1.0,17.0,NFO,2.8,6.07
Gyökeres,Arsenal,9.0,14,FWD,1.56,1.0,14.0,ARS,3.2,4.38
Thiago,Brentford,6.0,14,FWD,2.33,1.0,14.0,BRE,3.2,4.38
Isidor,Sunderland,5.5,14,FWD,2.55,1.0,14.0,SUN,2.6,5.38
Bowen,West Ham,7.8,13,FWD,1.67,1.0,13.0,WHU,2.8,4.64
Mayenda,Sunderland,5.5,12,FWD,2.18,1.0,12.0,SUN,2.6,4.62
Evanilson,Bournemouth,7.0,11,FWD,1.57,1.0,11.0,BOU,2.2,5.0
Foster,Burnley,5.0,10,FWD,2.0,1.0,10.0,BUR,3.0,3.33
Beto,Everton,5.4,9,FWD,1.67,1.0,9.0,EVE,3.6,2.5
Wilson,West Ham,5.9,9,FWD,1.53,1.0,9.0,WHU,2.8,3.21
Mateta,Crystal Palace,7.5,8,FWD,1.07,1.0,8.0,CRY,3.0,2.67
Muniz,Fulham,5.5,8,FWD,1.45,1.0,8.0,FUL,3.0,2.67
Nmecha,Leeds,5.0,8,FWD,1.6,1.0,8.0,LEE,2.8,2.86
Osula,Newcastle,5.5,8,FWD,1.45,1.0,8.0,NEW,2.6,3.08
Watkins,Aston Villa,8.9,6,FWD,0.67,1.0,6.0,AVL,2.0,3.0
Füllkrug,West Ham,5.8,5,FWD,0.86,1.0,5.0,WHU,2.8,1.79
Delap,Chelsea,6.3,4,FWD,0.63,1.0,4.0,CHE,3.0,1.33
Barry,Everton,5.9,4,FWD,0.68,1.0,4.0,EVE,3.6,1.11
Raúl,Fulham,6.4,4,FWD,0.62,1.0,4.0,FUL,3.0,1.33
Strand Larsen,Wolves,6.4,4,FWD,0.62,1.0,4.0,WOL,2.4,1.67
Kroupi Jr,Bournemouth,4.5,3,FWD,0.67,1.0,3.0,BOU,2.2,1.36
