Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Pedro Porro,Spurs,DEF,5.6,22,3.93,1.0,22.0,TOT,2.4,9.17
Diakité,Bournemouth,DEF,4.5,21,4.67,1.0,21.0,BOU,2.4,8.75
Gudmundsson,Spurs,DEF,4.0,21,5.25,1.0,21.0,TOT,2.4,8.75
Trippier,Newcastle,DEF,5.0,21,4.2,1.0,21.0,NEW,2.8,7.5
Konaté,Liverpool,DEF,5.5,20,3.64,1.0,20.0,LIV,3.0,6.67
Ekdal,Burnley,DEF,4.0,19,4.75,1.0,19.0,BUR,3.2,5.94
Ballard,Sunderland,DEF,4.6,19,4.13,1.0,19.0,SUN,2.6,7.31
Hume,Sunderland,DEF,4.5,19,4.22,1.0,19.0,SUN,2.6,7.31
Spence,Spurs,DEF,4.5,19,4.22,1.0,19.0,TOT,2.4,7.92
Saliba,Arsenal,DEF,6.0,18,3.0,1.0,18.0,ARS,2.2,8.18
Mukiele,Sunderland,DEF,4.0,18,4.5,1.0,18.0,SUN,2.6,6.92
Diouf,West Ham,DEF,4.4,18,4.09,1.0,18.0,WHU,2.8,6.43
Bassey,Fulham,DEF,4.5,17,3.78,1.0,17.0,FUL,2.8,6.07
Bogle,Leeds,DEF,4.5,17,3.78,1.0,17.0,LEE,2.0,8.5
Botman,Newcastle,DEF,4.9,17,3.47,1.0,17.0,NEW,2.8,6.07
Estève,Burnley,DEF,4.0,16,4.0,1.0,16.0,BUR,3.2,5.0
Van den Berg,Brentford,DEF,4.5,16,3.56,1.0,16.0,BRE,3.6,4.44
O'Brien,Everton,DEF,5.0,16,3.2,1.0,16.0,EVE,2.8,5.71
Rúben,Man City,DEF,5.5,16,2.91,1.0,16.0,MCI,2.2,7.27
Digne,Aston Villa,DEF,4.5,15,3.33,1.0,15.0,AVL,3.4,4.41
Collins,Brentford,DEF,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17
Lewis-Potter,Brentford,DEF,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17
Kayode,Brentford,DEF,4.5,15,3.33,1.0,15.0,BRE,3.6,4.17
Tete,Fulham,DEF,4.5,15,3.33,1.0,15.0,FUL,2.8,5.36
De Ligt,Man Utd,DEF,5.0,15,3.0,1.0,15.0,MUN,2.8,5.36
Hartman,Burnley,DEF,4.0,14,3.5,1.0,14.0,BUR,3.2,4.38
Maguire,Man Utd,DEF,4.4,14,3.18,1.0,14.0,MUN,2.8,5.0
N.Williams,Nott'm Forest,DEF,5.0,14,2.8,1.0,14.0,NFO,2.6,5.38
Reinildo,Sunderland,DEF,4.0,14,3.5,1.0,14.0,SUN,2.6,5.38
Dunk,Brighton,DEF,4.5,13,2.89,1.0,13.0,BHA,2.4,5.42
Lewis,Man City,DEF,5.0,13,2.6,1.0,13.0,MCI,2.2,5.91
Semenyo,Bournemouth,MID,7.7,41,5.32,1.0,41.0,BOU,2.4,17.08
Anthony,Burnley,MID,5.5,34,6.18,1.0,34.0,BUR,3.2,10.62
Caicedo,Chelsea,MID,5.6,33,5.89,1.0,33.0,CHE,2.8,11.79
Enzo,Chelsea,MID,6.7,30,4.48,1.2,36.0,CHE,2.8,12.86
M.Salah,Liverpool,MID,14.5,30,2.07,1.5,45.0,LIV,3.0,15.0
Stach,Leeds,MID,5.0,29,5.8,1.0,29.0,LEE,2.0,14.5
Ndiaye,Everton,MID,6.5,28,4.31,1.0,28.0,EVE,2.8,10.0
Zubimendi,Arsenal,MID,5.4,27,5.0,1.0,27.0,ARS,2.2,12.27
Cullen,Burnley,MID,5.0,27,5.4,1.0,27.0,BUR,3.2,8.44
Gravenberch,Liverpool,MID,5.6,27,4.82,1.0,27.0,LIV,3.0,9.0
Iwobi,Fulham,MID,6.5,26,4.0,1.0,26.0,FUL,2.8,9.29
Reijnders,Man City,MID,5.6,26,4.64,1.0,26.0,MCI,2.2,11.82
B.Fernandes,Man Utd,MID,9.0,26,2.89,1.0,26.0,MUN,2.8,9.29
Garner,Everton,MID,5.0,25,5.0,1.0,25.0,EVE,2.8,8.93
Grealish,Everton,MID,6.8,25,3.68,1.0,25.0,EVE,2.8,8.93
Gakpo,Liverpool,MID,7.7,25,3.25,1.0,25.0,LIV,3.0,8.33
Kudus,Spurs,MID,6.6,25,3.79,1.0,25.0,TOT,2.4,10.42
Minteh,Brighton,MID,5.9,24,4.07,1.0,24.0,BHA,2.4,10.0
L.Paquetá,West Ham,MID,5.9,24,4.07,1.0,24.0,WHU,2.8,8.57
Tavernier,Bournemouth,MID,5.5,23,4.18,1.0,23.0,BOU,2.4,9.58
Szoboszlai,Liverpool,MID,6.5,21,3.23,1.0,21.0,LIV,3.0,7.0
Ndoye,Nott'm Forest,MID,6.1,21,3.44,1.0,21.0,NFO,2.6,8.08
Rice,Arsenal,MID,6.5,20,3.08,1.0,20.0,ARS,2.2,9.09
Gana,Everton,MID,5.4,20,3.7,1.0,20.0,EVE,2.8,7.14
Xhaka,Sunderland,MID,5.0,20,4.0,1.0,20.0,SUN,2.6,7.69
Johnson,Spurs,MID,7.0,20,2.86,1.0,20.0,TOT,2.4,8.33
Bergvall,Spurs,MID,5.4,20,3.7,1.0,20.0,TOT,2.4,8.33
J.Palhinha,Spurs,MID,5.5,20,3.64,1.0,20.0,TOT,2.4,8.33
Mbeumo,Man Utd,MID,8.1,19,2.35,1.0,19.0,MUN,2.8,6.79
P.M.Sarr,Spurs,MID,5.0,19,3.8,1.0,19.0,TOT,2.4,7.92
Mitoma,Brighton,MID,6.4,18,2.81,1.0,18.0,BHA,2.4,7.5
Sarr,Crystal Palace,MID,6.4,18,2.81,1.0,18.0,CRY,3.4,5.29
Doku,Man City,MID,6.4,18,2.81,1.0,18.0,MCI,2.2,8.18
Anderson,Nott'm Forest,MID,5.5,18,3.27,1.0,18.0,NFO,2.6,6.92
O.Dango,Brentford,MID,6.0,17,2.83,1.0,17.0,BRE,3.6,4.72
Wilson,Fulham,MID,5.4,17,3.15,1.0,17.0,FUL,2.8,6.07
Ayari,Brighton,MID,4.9,16,3.27,1.0,16.0,BHA,2.4,6.67
Neto,Chelsea,MID,7.0,16,2.29,1.0,16.0,CHE,2.8,5.71
Foden,Man City,MID,8.0,16,2.0,1.0,16.0,MCI,2.2,7.27
Hudson-Odoi,Nott'm Forest,MID,6.0,16,2.67,1.0,16.0,NFO,2.6,6.15
Talbi,Sunderland,MID,5.0,16,3.2,1.0,16.0,SUN,2.6,6.15
Brooks,Bournemouth,MID,5.0,15,3.0,1.0,15.0,BOU,2.4,6.25
Damsgaard,Brentford,MID,5.9,15,2.54,1.0,15.0,BRE,3.6,4.17
Henderson,Brentford,MID,5.0,15,3.0,1.0,15.0,BRE,3.6,4.17
E.Le Fée,Sunderland,MID,4.7,15,3.19,1.0,15.0,SUN,2.6,5.77
Eze,Arsenal,MID,7.5,14,1.87,1.0,14.0,ARS,2.2,6.36
Adams,Bournemouth,MID,5.0,14,2.8,1.0,14.0,BOU,2.4,5.83
Yarmoliuk,Brentford,MID,5.0,14,2.8,1.0,14.0,BRE,3.6,3.89
Bruno G.,Newcastle,MID,6.5,14,2.15,1.0,14.0,NEW,2.8,5.0
Tonali,Newcastle,MID,5.4,14,2.59,1.0,14.0,NEW,2.8,5.0
Schade,Brentford,MID,7.0,13,1.86,1.0,13.0,BRE,3.6,3.61
Georginio,Brighton,MID,5.8,13,2.24,1.0,13.0,BHA,2.4,5.42
Gruda,Brighton,MID,5.4,13,2.41,1.0,13.0,BHA,2.4,5.42
Wharton,Crystal Palace,MID,5.0,13,2.6,1.0,13.0,CRY,3.4,3.82
Lukić,Fulham,MID,5.0,13,2.6,1.0,13.0,FUL,2.8,4.64
Bernardo,Man City,MID,6.4,13,2.03,1.0,13.0,MCI,2.2,5.91
Haaland,Man City,FWD,14.3,46,3.22,1.5,69.0,MCI,2.2,31.36
João Pedro,Chelsea,FWD,7.8,35,4.49,1.2,42.0,CHE,2.8,15.0
Ekitiké,Liverpool,FWD,8.7,32,3.68,1.2,38.4,LIV,3.0,12.8
Richarlison,Spurs,FWD,6.7,29,4.33,1.0,29.0,TOT,2.4,12.08
Isidor,Sunderland,FWD,5.5,25,4.55,1.0,25.0,SUN,2.6,9.62
Bowen,West Ham,FWD,7.7,24,3.12,1.0,24.0,WHU,2.8,8.57
Gyökeres,Arsenal,FWD,9.0,22,2.44,1.0,22.0,ARS,2.2,10.0
Wood,Nott'm Forest,FWD,7.6,20,2.63,1.0,20.0,NFO,2.6,7.69
Foster,Burnley,FWD,5.0,18,3.6,1.0,18.0,BUR,3.2,5.62
Evanilson,Bournemouth,FWD,7.0,18,2.57,1.0,18.0,BOU,2.4,7.5
Thiago,Brentford,FWD,6.0,17,2.83,1.0,17.0,BRE,3.6,4.72
Mateta,Crystal Palace,FWD,7.6,16,2.11,1.0,16.0,CRY,3.4,4.71
Muniz,Fulham,FWD,5.5,15,2.73,1.0,15.0,FUL,2.8,5.36
Calvert-Lewin,Leeds,FWD,5.5,14,2.55,1.0,14.0,LEE,2.0,7.0
Mayenda,Sunderland,FWD,5.5,13,2.36,1.0,13.0,SUN,2.6,5.0
Beto,Everton,FWD,5.4,12,2.22,1.0,12.0,EVE,2.8,4.29
Woltemade,Newcastle,FWD,7.1,11,1.55,1.0,11.0,NEW,2.8,3.93
Wilson,West Ham,FWD,5.9,11,1.86,1.0,11.0,WHU,2.8,3.93
Watkins,Aston Villa,FWD,8.8,10,1.14,1.0,10.0,AVL,3.4,2.94
Nmecha,Leeds,FWD,5.0,10,2.0,1.0,10.0,LEE,2.0,5.0
Osula,Newcastle,FWD,5.5,10,1.82,1.0,10.0,NEW,2.8,3.57
Welbeck,Brighton,FWD,6.3,6,0.95,1.0,6.0,BHA,2.4,2.5
Barry,Everton,FWD,5.8,6,1.03,1.0,6.0,EVE,2.8,2.14
Raúl,Fulham,FWD,6.3,6,0.95,1.0,6.0,FUL,2.8,2.14
Šeško,Man Utd,FWD,7.3,6,0.82,1.0,6.0,MUN,2.8,2.14
Füllkrug,West Ham,FWD,5.7,6,1.05,1.0,6.0,WHU,2.8,2.14
Strand Larsen,Wolves,FWD,6.4,5,0.78,1.0,5.0,WOL,2.2,2.27
Delap,Chelsea,FWD,6.2,4,0.65,1.0,4.0,CHE,2.8,1.43
