Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Garner,Everton,MID,5.0,32,OK,6.4,1.0,32.0
M.Salah,Liverpool,MID,14.5,32,OK,2.21,1.5,48.0
Cullen,Burnley,MID,5.0,31,OK,6.2,1.0,31.0
Stach,Leeds,MID,5.0,31,OK,6.2,1.0,31.0
Ndiaye,Everton,MID,6.5,30,OK,4.62,1.0,30.0
Rice,Arsenal,MID,6.5,29,OK,4.46,1.0,29.0
Zubimendi,Arsenal,MID,5.5,29,OK,5.27,1.0,29.0
Minteh,Brighton,MID,5.9,29,OK,4.92,1.0,29.0
Sarr,Crystal Palace,MID,6.4,29,OK,4.53,1.0,29.0
Xhaka,Sunderland,MID,5.0,29,OK,5.8,1.0,29.0
J.Palhinha,Spurs,MID,5.5,28,OK,5.09,1.0,28.0
Iwobi,Fulham,MID,6.5,28,OK,4.31,1.0,28.0
Doku,Man City,MID,6.6,28,OK,4.24,1.0,28.0
Reijnders,Man City,MID,5.8,28,OK,4.83,1.0,28.0
L.Paquetá,West Ham,MID,5.9,27,OK,4.58,1.0,27.0
Grealish,Everton,MID,6.9,27,OK,3.91,1.0,27.0
Kudus,Spurs,MID,6.7,27,OK,4.03,1.0,27.0
Longstaff,Leeds,MID,4.9,26,OK,5.31,1.0,26.0
Gakpo,Liverpool,MID,7.5,26,OK,3.47,1.0,26.0
Szoboszlai,Liverpool,MID,6.5,26,OK,4.0,1.0,26.0
B.Fernandes,Man Utd,MID,9.0,25,OK,2.78,1.0,25.0
Tavernier,Bournemouth,MID,5.5,24,OK,4.36,1.0,24.0
P.M.Sarr,Spurs,MID,5.0,23,OK,4.6,1.0,23.0
Gana,Everton,MID,5.4,22,OK,4.07,1.0,22.0
Ndoye,Nott'm Forest,MID,6.0,22,OK,3.67,1.0,22.0
Henderson,Brentford,MID,5.0,21,OK,4.2,1.0,21.0
Yarmoliuk,Brentford,MID,5.0,21,OK,4.2,1.0,21.0
Mbeumo,Man Utd,MID,8.1,21,OK,2.59,1.0,21.0
Anderson,Nott'm Forest,MID,5.4,21,OK,3.89,1.0,21.0
Johnson,Spurs,MID,6.9,21,OK,3.04,1.0,21.0
Bergvall,Spurs,MID,5.4,21,OK,3.89,1.0,21.0
Scott,Bournemouth,MID,5.0,20,OK,4.0,1.0,20.0
Mitoma,Brighton,MID,6.4,20,OK,3.12,1.0,20.0
Dewsbury-Hall,Everton,MID,5.0,20,OK,4.0,1.0,20.0
Tonali,Newcastle,MID,5.4,20,OK,3.7,1.0,20.0
O.Dango,Brentford,MID,6.0,19,OK,3.17,1.0,19.0
Talbi,Sunderland,MID,5.0,19,OK,3.8,1.0,19.0
McGinn,Aston Villa,MID,5.4,18,OK,3.33,1.0,18.0
Ayari,Brighton,MID,4.9,18,OK,3.67,1.0,18.0
Neto,Chelsea,MID,7.0,18,OK,2.57,1.0,18.0
Wilson,Fulham,MID,5.4,18,OK,3.33,1.0,18.0
E.Le Fée,Sunderland,MID,4.9,18,OK,3.67,1.0,18.0
Rogers,Aston Villa,MID,6.9,17,OK,2.46,1.0,17.0
Buendía,Aston Villa,MID,5.3,17,OK,3.21,1.0,17.0
Schade,Brentford,MID,7.0,17,OK,2.43,1.0,17.0
Damsgaard,Brentford,MID,5.8,17,OK,2.93,1.0,17.0
Gruda,Brighton,MID,5.4,17,OK,3.15,1.0,17.0
Lukić,Fulham,MID,5.0,17,OK,3.4,1.0,17.0
Foden,Man City,MID,8.1,17,OK,2.1,1.0,17.0
Hudson-Odoi,Nott'm Forest,MID,6.0,17,OK,2.83,1.0,17.0
Eze,Arsenal,MID,7.6,16,OK,2.11,1.0,16.0
Adams,Bournemouth,MID,5.0,16,OK,3.2,1.0,16.0
Brooks,Bournemouth,MID,5.0,16,OK,3.2,1.0,16.0
Kamada,Crystal Palace,MID,5.0,16,OK,3.2,1.0,16.0
Wharton,Crystal Palace,MID,5.0,16,OK,3.2,1.0,16.0
Haaland,Man City,FWD,14.4,62,OK,4.31,1.5,93.0
João Pedro,Chelsea,FWD,7.7,37,OK,4.81,1.2,44.4
Bowen,West Ham,FWD,7.7,33,OK,4.29,1.0,33.0
Ekitiké,Liverpool,FWD,8.7,32,DOUBT,3.68,1.2,38.4
Richarlison,Spurs,FWD,6.8,31,OK,4.56,1.0,31.0
Thiago,Brentford,FWD,6.0,30,OK,5.0,1.0,30.0
Isidor,Sunderland,FWD,5.6,27,OK,4.82,1.0,27.0
Gyökeres,Arsenal,FWD,9.0,24,OK,2.67,1.0,24.0
Wood,Nott'm Forest,FWD,7.4,22,OK,2.97,1.0,22.0
Foster,Burnley,FWD,5.0,20,OK,4.0,1.0,20.0
Evanilson,Bournemouth,FWD,7.0,20,OK,2.86,1.0,20.0
Watkins,Aston Villa,FWD,8.7,18,OK,2.07,1.0,18.0
Mateta,Crystal Palace,FWD,7.5,18,OK,2.4,1.0,18.0
Woltemade,Newcastle,FWD,7.1,18,OK,2.54,1.0,18.0
Welbeck,Brighton,FWD,6.3,17,OK,2.7,1.0,17.0
Calvert-Lewin,Leeds,FWD,5.5,16,INJURY,2.91,1.0,16.0
Muniz,Fulham,FWD,5.5,15,INJURY,2.73,1.0,15.0
Beto,Everton,FWD,5.4,14,OK,2.59,1.0,14.0
Šeško,Man Utd,FWD,7.3,14,OK,1.92,1.0,14.0
Mayenda,Sunderland,FWD,5.5,13,OK,2.36,1.0,13.0
Raúl,Fulham,FWD,6.3,12,DOUBT,1.9,1.0,12.0
Nmecha,Leeds,FWD,5.0,11,OK,2.2,1.0,11.0
Osula,Newcastle,FWD,5.5,11,OK,2.0,1.0,11.0
Wilson,West Ham,FWD,5.9,11,OK,1.86,1.0,11.0
Kroupi.Jr,Bournemouth,FWD,4.5,9,OK,2.0,1.0,9.0
Füllkrug,West Ham,FWD,5.7,8,OK,1.4,1.0,8.0
Barry,Everton,FWD,5.8,7,OK,1.21,1.0,7.0
Strand Larsen,Wolves,FWD,6.4,7,DOUBT,1.09,1.0,7.0
Nketiah,Crystal Palace,FWD,5.4,5,OK,0.93,1.0,5.0
Igor Jesus,Nott'm Forest,FWD,5.8,5,OK,0.86,1.0,5.0
