Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
White,Arsenal,DEF,5.5,21,OK,3.82,21,21.0,25.08,1.22,21.0,1.0,21.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.02
Ajer,Brentford,DEF,4.5,21,OK,4.67,21,14.0,15.73,0.81,14.0,1.0,21.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02
Schuster,Brentford,DEF,4.5,21,OK,4.67,21,21.0,24.57,1.22,21.0,1.0,21.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02
Maitland-Niles,Everton,DEF,4.5,21,OK,4.67,21,13.0,14.49,0.76,13.0,1.0,21.0,EVE,1109.9047619047617,1106.6666666666665,1106.6666666666665,0.02
Dasilva,Coventry City,DEF,4.0,20,OK,5.0,20,3.0,3.94,0.17,3.0,1.0,20.0,COV,1138.7142857142856,1205.0,1205.0,0.02
Castagne,Fulham,DEF,4.5,20,OK,4.44,20,19.0,22.73,1.14,19.0,1.0,20.0,FUL,1063.9047619047617,1044.4285714285713,1044.4285714285713,0.02
Boscagli,Brighton,DEF,4.5,19,OK,4.22,19,14.0,17.43,0.84,14.0,1.0,19.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02
Khalaili,Crystal Palace,DEF,5.0,19,OK,3.8,19,13.0,14.18,0.74,13.0,1.0,19.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.02
N.Williams,Nott'm Forest,DEF,5.0,19,OK,3.8,19,17.0,20.38,1.02,17.0,1.0,19.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.02
Rúben,Man City,DEF,5.5,17,OK,3.09,17,16.0,18.87,0.94,16.0,1.0,17.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.01
Robertson,Spurs,DEF,4.4,17,OK,3.86,17,18.0,21.99,1.06,18.0,1.0,17.0,TOT,1149.333333333333,1208.8095238095239,1208.8095238095239,0.01
Van de Ven,Spurs,DEF,5.0,16,OK,3.2,16,15.0,17.79,0.89,15.0,1.0,16.0,TOT,1149.333333333333,1208.8095238095239,1208.8095238095239,0.01
Bassey,Fulham,DEF,4.5,15,OK,3.33,15,9.0,11.82,0.54,9.0,1.0,15.0,FUL,1063.9047619047617,1044.4285714285713,1044.4285714285713,0.01
Botman,Newcastle,DEF,5.0,15,OK,3.0,15,11.0,12.59,0.63,11.0,1.0,15.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01
Pinnock,Coventry City,DEF,4.5,14,OK,3.11,14,14.0,16.56,0.82,14.0,1.0,14.0,COV,1138.7142857142856,1205.0,1205.0,0.01
Richards,Crystal Palace,DEF,5.0,14,OK,2.8,14,3.0,4.2,0.17,3.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.01
Coyle,Hull City,DEF,4.0,14,OK,3.5,14,13.0,14.77,0.76,13.0,1.0,14.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.01
Gudmundsson,Leeds,DEF,4.5,14,OK,3.11,14,14.0,16.84,0.84,14.0,1.0,14.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.01
Thiaw,Newcastle,DEF,5.0,14,OK,2.8,14,11.0,12.7,0.63,11.0,1.0,14.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01
Ballard,Sunderland,DEF,4.9,14,OK,2.86,14,12.0,14.56,0.71,12.0,1.0,14.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01
Meunier,Sunderland,DEF,4.5,14,OK,3.11,14,11.0,13.34,0.65,11.0,1.0,14.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01
Silva,Bournemouth,DEF,5.0,13,OK,2.6,13,10.0,11.99,0.61,10.0,1.0,13.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01
F.Kadıoğlu,Brighton,DEF,4.4,13,OK,2.95,13,0.0,0.0,0.0,0.0,1.0,13.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.01
Lacroix,Chelsea,DEF,5.9,13,OK,2.2,13,10.0,11.65,0.56,10.0,1.0,13.0,CHE,1156.5714285714284,1192.9047619047617,1192.9047619047617,0.01
Elvedi,Leeds,DEF,4.5,13,OK,2.89,13,13.0,15.63,0.78,13.0,1.0,13.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.01
Kerkez,Liverpool,DEF,5.4,13,OK,2.41,13,0.0,0.0,0.0,0.0,1.0,13.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.01
Dedić,Newcastle,DEF,4.5,13,OK,2.89,13,13.0,15.5,0.74,13.0,1.0,13.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01
Mukiele,Sunderland,DEF,5.4,13,OK,2.41,13,13.0,15.7,0.77,13.0,1.0,13.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01
Mosquera,Arsenal,DEF,5.3,12,OK,2.26,12,12.0,14.55,0.7,12.0,1.0,12.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.01
Konsa,Arsenal,DEF,4.6,12,OK,2.61,12,11.0,13.21,0.64,11.0,1.0,12.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.01
Hill,Bournemouth,DEF,5.5,12,OK,2.18,12,13.0,16.34,0.79,13.0,1.0,12.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01
Robinson,Fulham,DEF,4.5,12,OK,2.67,12,10.0,13.13,0.6,10.0,1.0,12.0,FUL,1063.9047619047617,1044.4285714285713,1044.4285714285713,0.01
Affengruber,Fulham,DEF,4.5,12,OK,2.67,12,12.0,14.59,0.72,12.0,1.0,12.0,FUL,1063.9047619047617,1044.4285714285713,1044.4285714285713,0.01
Groß,Brighton,MID,5.8,47,OK,8.1,47,33.0,42.37,1.51,33.0,1.0,47.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.04
Schade,Brentford,MID,6.1,39,OK,6.39,39,30.0,35.11,1.3,30.0,1.0,39.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.03
Cherki,Man City,MID,7.8,34,OK,4.36,34,26.0,29.11,1.16,26.0,1.0,34.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.03
Semenyo,Man City,MID,8.4,33,OK,3.93,33,16.0,18.37,0.71,16.0,1.0,33.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.03
Saka,Arsenal,MID,9.5,32,OK,3.37,32,30.0,34.62,1.31,30.0,1.0,32.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.03
Gakpo,Liverpool,MID,7.2,32,OK,4.44,32,29.0,33.4,1.24,29.0,1.0,32.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.03
Tavernier,Bournemouth,MID,6.1,31,OK,5.08,31,29.0,34.08,1.31,29.0,1.0,31.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.03
Belloumi,Hull City,MID,5.1,31,OK,6.08,31,27.0,30.62,1.19,27.0,1.0,31.0,HUL,1135.7142857142858,1148.6666666666665,1135.7142857142858,0.03
B.Fernandes,Man Utd,MID,12.0,31,OK,2.58,31,29.0,33.36,1.24,29.0,1.1,34.1,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.03
Scott,Bournemouth,MID,6.1,30,OK,4.92,30,28.0,32.42,1.27,28.0,1.0,30.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.03
Ødegaard,Arsenal,MID,6.8,29,OK,4.26,29,27.0,30.35,1.17,27.0,1.0,29.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.03
Rogers,Chelsea,MID,7.7,29,OK,3.77,29,27.0,31.47,1.19,27.0,1.0,29.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.03
Janelt,Brentford,MID,5.0,28,OK,5.6,28,25.0,26.93,1.08,25.0,1.0,28.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02
Palmer,Chelsea,MID,9.7,28,OK,2.89,28,26.0,31.51,1.15,26.0,1.0,28.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.02
Barnes,Newcastle,MID,6.1,28,OK,4.59,28,19.0,20.43,0.83,19.0,1.0,28.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.03
Gibbs-White,Nott'm Forest,MID,8.0,28,OK,3.5,28,26.0,28.97,1.15,26.0,1.0,28.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.02
Stach,Leeds,MID,6.0,27,OK,4.5,27,22.0,25.7,0.97,22.0,1.0,27.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.02
Cunha,Man Utd,MID,7.9,26,OK,3.29,26,16.0,18.59,0.69,16.0,1.0,26.0,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.02
Mbeumo,Man Utd,MID,7.9,25,OK,3.16,25,23.0,27.29,0.99,23.0,1.0,25.0,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.02
Gomez,Brighton,MID,5.0,24,OK,4.8,24,16.0,18.99,0.73,16.0,1.0,24.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02
King,Fulham,MID,5.5,24,OK,4.36,24,22.0,25.3,0.99,22.0,1.0,24.0,FUL,1063.9047619047617,1044.4285714285713,1063.9047619047617,0.02
Lewis-Potter,Brentford,MID,5.5,22,OK,4.0,22,19.0,21.22,0.82,19.0,1.0,22.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02
M.Sangaré,Brentford,MID,5.6,22,OK,3.93,22,22.0,24.63,0.95,22.0,1.0,22.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.02
Ndiaye,Man City,MID,5.8,22,OK,3.79,22,17.0,20.21,0.76,17.0,1.0,22.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.02
Mainoo,Man Utd,MID,5.5,22,OK,4.0,22,18.0,22.19,0.77,18.0,1.0,22.0,MUN,1122.6666666666665,1175.904761904762,1122.6666666666665,0.02
Willock,Newcastle,MID,5.0,22,OK,4.4,22,12.0,13.46,0.52,12.0,1.0,22.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.02
Buendía,Aston Villa,MID,5.9,21,OK,3.56,21,2.0,2.8,0.09,2.0,1.0,21.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.02
Kamada,Crystal Palace,MID,5.0,21,OK,4.2,21,18.0,20.04,0.78,18.0,1.0,21.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.02
Ampadu,Leeds,MID,5.4,21,OK,3.89,21,16.0,18.57,0.71,16.0,1.0,21.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.02
Xhaka,Sunderland,MID,5.5,21,OK,3.82,21,19.0,22.73,0.86,19.0,1.0,21.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02
Rice,Arsenal,MID,7.4,20,OK,2.7,20,19.0,21.57,0.83,19.0,1.0,20.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.02
Yalcouyé,Brighton,MID,4.5,20,OK,4.44,20,19.0,23.88,0.87,19.0,1.0,20.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02
Dewsbury-Hall,Everton,MID,6.6,20,OK,3.03,20,17.0,18.08,0.73,17.0,1.0,20.0,EVE,1109.9047619047617,1106.6666666666665,1109.9047619047617,0.02
Szoboszlai,Liverpool,MID,7.0,20,OK,2.86,20,18.0,20.21,0.77,18.0,1.0,20.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.02
George,Everton,MID,5.5,19,OK,3.45,19,18.0,19.93,0.78,18.0,1.0,19.0,EVE,1109.9047619047617,1106.6666666666665,1109.9047619047617,0.02
Okafor,Leeds,MID,5.8,18,OK,3.1,18,15.0,17.41,0.66,15.0,1.0,18.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.01
Wirtz,Liverpool,MID,7.3,18,OK,2.47,18,12.0,12.91,0.51,12.0,1.0,18.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.01
Elanga,Newcastle,MID,6.1,18,OK,2.95,18,18.0,20.55,0.78,18.0,1.0,18.0,NEW,1112.9523809523807,1133.3809523809523,1112.9523809523807,0.02
E.Le Fée,Sunderland,MID,5.7,18,OK,3.16,18,13.0,18.19,0.59,13.0,1.0,18.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.02
McGinn,Aston Villa,MID,5.4,17,OK,3.15,17,11.0,12.32,0.49,11.0,1.0,17.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01
Tzolis,Arsenal,MID,6.3,16,OK,2.54,16,14.0,15.67,0.61,14.0,1.0,16.0,ARS,1149.9047619047617,1182.6190476190475,1149.9047619047617,0.01
Damsgaard,Brentford,MID,5.4,16,OK,2.96,16,13.0,13.5,0.56,13.0,1.0,16.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01
Hinshelwood,Brighton,MID,5.9,16,OK,2.71,16,16.0,18.14,0.73,16.0,1.0,16.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01
Armstrong,Everton,MID,5.0,16,OK,3.2,16,14.0,14.98,0.6,14.0,1.0,16.0,EVE,1109.9047619047617,1106.6666666666665,1109.9047619047617,0.01
N.Angulo,Sunderland,MID,5.0,16,OK,3.2,16,12.0,16.39,0.55,12.0,1.0,16.0,SUN,1141.5238095238094,1196.142857142857,1141.5238095238094,0.01
Kamara,Aston Villa,MID,5.0,15,OK,3.0,15,2.0,2.8,0.09,2.0,1.0,15.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01
Kluivert,Bournemouth,MID,6.0,15,OK,2.5,15,21.0,24.82,0.95,21.0,1.0,15.0,BOU,1157.1904761904764,1179.5238095238094,1157.1904761904764,0.01
Anthony,Brentford,MID,5.9,15,OK,2.54,15,15.0,16.84,0.65,15.0,1.0,15.0,BRE,1141.5238095238096,1197.952380952381,1141.5238095238096,0.01
Ayari,Brighton,MID,5.4,15,OK,2.78,15,14.0,19.06,0.64,14.0,1.0,15.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.01
Slater,Hull City,MID,4.5,15,OK,3.33,15,13.0,14.41,0.57,13.0,1.0,15.0,HUL,1135.7142857142858,1148.6666666666665,1135.7142857142858,0.01
Enciso,Ipswich Town,MID,5.5,15,OK,2.73,15,13.0,15.37,0.59,13.0,1.0,15.0,IPS,1171.0,1204.7619047619046,1171.0,0.01
Munoz,Liverpool,MID,6.5,15,OK,2.31,15,14.0,15.55,0.6,14.0,1.0,15.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.01
Anderson,Man City,MID,6.3,15,OK,2.38,15,13.0,15.51,0.58,13.0,1.0,15.0,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.01
Ndoye,Nott'm Forest,MID,5.5,15,OK,2.73,15,14.0,15.88,0.62,14.0,1.0,15.0,NFO,1188.6190476190473,1192.5238095238096,1188.6190476190473,0.01
Bentancur,Spurs,MID,5.5,15,OK,2.73,15,11.0,13.21,0.48,11.0,1.0,15.0,TOT,1149.333333333333,1208.8095238095239,1149.333333333333,0.01
Manzambi,Aston Villa,MID,5.9,14,OK,2.37,14,14.0,16.33,0.62,14.0,1.0,14.0,AVL,1185.2380952380952,1214.285714285714,1185.2380952380952,0.01
Neto,Chelsea,MID,6.5,14,OK,2.15,14,12.0,14.97,0.53,12.0,1.0,14.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.01
Yeremy,Crystal Palace,MID,5.5,14,OK,2.55,14,12.0,12.9,0.52,12.0,1.0,14.0,CRY,1152.9047619047617,1198.3333333333333,1152.9047619047617,0.01
Iwobi,Fulham,MID,5.4,14,OK,2.59,14,14.0,16.25,0.63,14.0,1.0,14.0,FUL,1063.9047619047617,1044.4285714285713,1063.9047619047617,0.01
Tanaka,Leeds,MID,4.9,14,OK,2.86,14,12.0,13.93,0.53,12.0,1.0,14.0,LEE,1220.6190476190475,1220.9047619047617,1220.6190476190475,0.01
Haaland,Man City,FWD,15.6,39,OK,2.5,39,33.0,37.95,1.47,33.0,1.1,42.9,MCI,1156.380952380952,1195.904761904762,1156.380952380952,0.04
João Pedro,Chelsea,FWD,7.8,33,OK,4.23,33,33.0,39.51,1.46,33.0,1.0,33.0,CHE,1156.5714285714284,1192.9047619047617,1156.5714285714284,0.03
Isak,Liverpool,FWD,9.1,33,OK,3.63,33,25.0,28.2,1.07,25.0,1.0,33.0,LIV,1232.6190476190477,1295.8095238095236,1232.6190476190477,0.03
Kostoulas,Brighton,FWD,5.5,28,OK,5.09,28,18.0,23.12,0.82,18.0,1.0,28.0,BHA,1129.952380952381,1159.3333333333333,1129.952380952381,0.02
Emersonn,Ipswich Town,FWD,5.5,26,OK,4.73,26,24.0,27.93,1.09,24.0,1.0,26.0,IPS,1171.0,1204.7619047619046,1171.0,0.02
